team,player,role,detail_role,sal,source,overseas,capped
RCB,Shahbaz Ahmed,Allrounder,,2.4,released,,
RCB,Rajat Patidar,Batter,,0.3,released,,
RCB,Tim David,Allrounder,,8.25,released,OS,
RCB,Navdeep Saini,Bowler,,2.6,released,,
RCB,Devdutt Padikkal,Batter,,7.75,released,,
RCB,George Garton,Batter,,0.3,released,,
RR,Kartik Tyagi,Bowler,,4.0,released,,
RR,Anuj Rawat,WK-Batter,,3.4,released,,
RR,Chetan Sakariya,Bowler,,4.2,released,,
RR,Evin Lewis,Batter,,2.0,released,OS,
RR,Akash Singh,Batter,,0.3,released,,
RR,Tabraiz Shamsi,Batter,,0.3,released,,
RR,Rahul Tewatia,Allrounder,,9.0,released,,
RR,Mahipal Lomror,Allrounder,,0.95,released,,
RR,Shivam Dube,Allrounder,,4.0,released,,
RR,Liam Livingstone,Allrounder,,11.5,released,OS,
RR,Shreyas Gopal,Bowler,,0.75,released,,
RR,Manan Vohra,Batter,,0.2,released,,
RR,Kuldip Yadav,Bowler,,0.2,released,,
RR,Mayank Markande,Bowler,,0.65,released,,
RR,Glenn Phillips,WK-Batter,,1.5,released,OS,
RR,Jaydev Unadkat,Bowler,,1.3,released,,
RR,David Miller,Batter,,3.0,released,OS,
RR,Riyan Parag,Allrounder,,3.8,released,,
RR,Mustafizur Rahman,Bowler,,2.0,released,OS,
SRH,Sandeep Sharma,Bowler,,0.5,released,,
SRH,Bhuvneshwar Kumar,Bowler,,4.2,released,,
SRH,Khaleel Ahmed,Bowler,,5.25,released,,
SRH,Jonny Bairstow,WK-Batter,,6.75,released,OS,
SRH,Mohammad Nabi,Allrounder,,1.0,released,OS,
SRH,Jagadeesha Suchith,Bowler,,0.2,released,,
SRH,Vijay Shankar,Allrounder,,1.4,released,,
SRH,Wriddhiman Saha,WK-Batter,,1.9,released,,
SRH,Priyam Garg,Batter,,0.2,released,,
SRH,Manish Pandey,Batter,,4.6,released,,
SRH,Shahbaz Nadeem,Bowler,,0.5,released,,
SRH,David Warner,Batter,,6.25,released,OS,
SRH,Siddarth Kaul,Bowler,,0.75,released,,
SRH,Abhishek Sharma,Allrounder,,6.5,released,,
SRH,Virat Singh,Batter,,0.3,released,,
SRH,Mujeeb Ur Rahman,Batter,,0.3,released,,
SRH,Jason Roy,Batter,,2.0,released,OS,
SRH,Jason Holder,Allrounder,,8.75,released,OS,
SRH,T Natarajan,Bowler,,4.0,released,,
