team,player,role,detail_role,sal,source,overseas,capped
CSK,Deepak Chahar,Bowler,,14.0,released,,
CSK,Dwayne Bravo,Allrounder,,4.4,released,OS,
CSK,Robin Uthappa,Batter,,2.0,released,,
CSK,Shardul Thakur,Bowler,,10.75,released,,
CSK,Suresh Raina,Batter,,0.3,released,,
CSK,Imran Tahir,Batter,,0.3,released,,
CSK,KM Asif,Bowler,,0.2,released,,
CSK,Ambati Rayudu,WK-Batter,,6.75,released,,
CSK,Lungi Ngidi,Bowler,,0.5,released,OS,
CSK,Faf du Plessis,Batter,,7.0,released,OS,
CSK,Josh Hazlewood,Bowler,,7.75,released,OS,
DC,Ajinkya Rahane,Batter,,1.0,released,,
DC,Kagiso Rabada,Bowler,,9.25,released,OS,
DC,Steven Smith,Batter,,0.3,released,,
DC,Shikhar Dhawan,Batter,,8.25,released,,
DC,Shreyas Iyer,Batter,,12.25,released,,
DC,Amit Mishra,Batter,,0.3,released,,
DC,Ishant Sharma,Batter,,0.3,released,,
DC,Ripal Patel,Allrounder,,0.2,released,,
DC,Shimron Hetmyer,Batter,,8.5,released,OS,
DC,Avesh Khan,Bowler,,10.0,released,,
DC,Ravichandran Ashwin,Allrounder,,5.0,released,,
DC,Lalit Yadav,Allrounder,,0.65,released,,
KKR,Rahul Tripathi,Batter,,8.5,released,,
KKR,Nitish Rana,Allrounder,,8.0,released,,
KKR,Tim Seifert,WK-Batter,,0.5,released,OS,
KKR,Sandeep Warrier,Batter,,0.3,released,,
KKR,Prasidh Krishna,Bowler,,10.0,released,,
KKR,Pat Cummins,Bowler,,7.25,released,OS,
KKR,Tim Southee,Bowler,,1.5,released,OS,
KKR,Eoin Morgan,Batter,,0.3,released,,
KKR,Dinesh Karthik,WK-Batter,,5.5,released,,
KKR,Shivam Mavi,Bowler,,7.25,released,,
KKR,Shakib Al Hasan,Batter,,0.3,released,,
KKR,Lockie Ferguson,Bowler,,10.0,released,OS,
KKR,Kamlesh Nagarkoti,Bowler,,1.1,released,,
MI,Rahul Chahar,Bowler,,5.25,released,,
MI,Nathan Coulter-Nile,Bowler,,2.0,released,OS,
MI,Jayant Yadav,Allrounder,,1.7,released,,
MI,Marco Jansen,Allrounder,,4.2,released,OS,
MI,Saurabh Tiwary,Batter,,0.3,released,,
MI,Anmolpreet Singh,Batter,,0.2,released,,
MI,Krunal Pandya,Allrounder,,8.25,released,,
MI,Dhawal Kulkarni,Batter,,0.3,released,,
MI,Quinton de Kock,WK-Batter,,6.75,released,OS,
MI,Trent Boult,Bowler,,8.0,released,OS,
MI,Ishan Kishan,WK-Batter,,15.25,released,,
MI,James Neesham,Allrounder,,1.5,released,OS,
MI,Piyush Chawla,Batter,,0.3,released,,
MI,Adam Milne,Bowler,,1.9,released,OS,
PBKS,Mohammed Shami,Bowler,,6.25,released,,
PBKS,Murugan Ashwin,Bowler,,1.6,released,,
PBKS,Mandeep Singh,Batter,,1.1,released,,
PBKS,Deepak Hooda,Allrounder,,5.75,released,,
PBKS,Fabian Allen,Allrounder,,0.75,released,OS,
PBKS,Ishan Porel,Bowler,,0.25,released,,
PBKS,Riley Meredith,Bowler,,1.0,released,OS,
PBKS,Harpreet Brar,Bowler,,3.8,released,,
PBKS,Nathan Ellis,Bowler,,0.75,released,OS,
PBKS,Adil Rashid,Batter,,0.3,released,,
PBKS,Dawid Malan,Batter,,0.3,released,,
PBKS,Sarfaraz Khan,Batter,,0.2,released,,
PBKS,Nicholas Pooran,WK-Batter,,10.75,released,OS,
PBKS,Aiden Markram,Batter,,2.6,released,OS,
PBKS,Moises Henriques,Batter,,0.3,released,,
PBKS,Prabhsimran Singh,WK-Batter,,0.6,released,,
PBKS,Chris Jordan,Allrounder,,3.6,released,OS,
PBKS,M Shahrukh Khan,Batter,,9.0,released,,
RCB,Washington Sundar,Allrounder,,8.75,released,,
RCB,Kane Richardson,Batter,,0.3,released,,
RCB,Harshal Patel,Bowler,,10.75,released,,
RCB,Daniel Sams,Allrounder,,2.6,released,OS,
RCB,Srikar Bharat,WK-Batter,,2.0,released,,
RCB,Yuzvendra Chahal,Bowler,,6.5,released,,
RCB,Sachin Baby,Batter,,0.3,released,,
