player,pWAR_final,pWAR,WAR_recent,team,role,salary,capped,overseas,auctionStatus,ipl_balls_wtd,t20i_balls_wtd,balls_eq,source,ipl_balls_faced,ipl_balls_bowled,bat_pos,bowl_phase,bowl_kind,bat_group,balls_recent,pWAR_base,chg,WAR
Dwaine Pretorius,0.605,0.61,0.61,CSK,Allrounder,0.5,1,1,sold,140.85,0.0,140.85,T20I only,0.0,0.0,,,,,140.85,0.61,0.0,0.61
Prashant Solanki,0.0,0.0,0.0,CSK,Bowler,1.2,0,0,sold,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Hari Nishanth,0.0,0.0,0.0,CSK,Batter,0.2,0,0,sold,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Narayan Jagadeesan,0.63,0.63,0.63,CSK,WK-Batter,0.2,0,0,sold,58.0,0.0,58.0,IPL only,29.0,0.0,4.0,,,Middle,58.0,0.63,0.0,0.63
Subhranshu Senapati,0.0,0.0,0.0,CSK,Batter,0.2,0,0,sold,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Bhagath Varma,0.0,0.0,0.0,CSK,Allrounder,0.2,0,0,sold,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Mukesh Choudhary,0.0,0.0,0.0,CSK,Bowler,0.2,0,0,sold,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Simarjeet Singh,0.0,0.0,0.0,CSK,Bowler,0.2,0,0,sold,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Chris Jordan,0.375,0.38,0.38,CSK,Allrounder,3.6,1,1,sold,988.9,0.0,988.9,IPL+T20I,52.0,276.0,7.5,Middle+Death,pace bowler,Lower,988.9,0.38,0.0,0.38
Adam Milne,0.243,0.24,0.24,CSK,Bowler,1.9,1,1,sold,363.15,0.0,363.15,IPL+T20I,17.0,87.0,8.0,Powerplay+Middle,pace bowler,Lower,363.15,0.24,0.0,0.24
Mitchell Santner,0.568,0.57,0.57,CSK,Allrounder,1.9,1,1,sold,398.25,0.0,398.25,IPL+T20I,23.0,130.0,8.0,Middle,spin bowler,Lower,398.25,0.57,0.0,0.57
Rajvardhan Hangargekar,0.0,0.0,0.0,CSK,Bowler,1.5,0,0,sold,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Devon Conway,0.648,0.65,0.65,CSK,Batter,1.0,1,1,sold,177.15,0.0,177.15,T20I only,0.0,0.0,,,,,177.15,0.65,0.0,0.65
Maheesh Theekshana,0.588,0.59,0.59,CSK,Bowler,0.7,1,1,sold,89.55,0.0,89.55,T20I only,0.0,0.0,,,,,89.55,0.59,0.0,0.59
Shivam Dube,0.34,0.34,0.34,CSK,Allrounder,4.0,1,0,sold,1074.7,0.0,1074.7,IPL+T20I,331.0,97.0,5.0,Middle+Death,pace bowler,Middle,1074.7,0.34,0.0,0.34
Deepak Chahar,0.527,0.53,0.53,CSK,Bowler,14.0,1,0,sold,2081.5,0.0,2081.5,IPL+T20I,22.0,1061.0,8.5,Powerplay+Middle+Death,pace bowler,Tail,2081.5,0.53,0.0,0.53
Tushar Deshpande,0.167,0.17,0.17,CSK,Bowler,0.2,0,0,sold,230.0,0.0,230.0,IPL only,12.0,110.0,9.5,Powerplay+Middle,pace bowler,Tail,230.0,0.17,0.0,0.17
KM Asif,0.622,0.62,0.62,CSK,Bowler,0.2,0,0,sold,42.0,0.0,42.0,IPL only,0.0,14.0,,,pace bowler,,42.0,0.62,0.0,0.62
Ambati Rayudu,0.621,0.62,0.62,CSK,WK-Batter,6.75,1,0,sold,1377.0,0.0,1377.0,IPL only,755.0,0.0,4.0,,,Middle,1377.0,0.62,0.0,0.62
Dwayne Bravo,0.791,0.79,0.79,CSK,Allrounder,4.4,1,1,sold,1479.45,0.0,1479.45,IPL+T20I,90.0,619.0,7.0,Middle+Death,pace bowler,Lower,1479.45,0.79,0.0,0.79
Robin Uthappa,0.63,0.63,0.63,CSK,Batter,2.0,1,0,sold,825.0,0.0,825.0,IPL only,493.0,0.0,3.0,,,No3,825.0,0.63,0.0,0.63
Ravindra Jadeja,0.765,0.77,0.77,CSK,Allrounder,16.0,1,0,retained,2560.55,0.0,2560.55,IPL+T20I,379.0,847.0,6.0,Middle+Death,spin bowler,Lower,2560.55,0.77,0.0,0.77
Moeen Ali,0.852,0.85,0.85,CSK,Allrounder,8.0,1,1,retained,1769.25,0.0,1769.25,IPL+T20I,409.0,337.0,4.0,Middle+Death,spin bowler,Middle,1769.25,0.85,0.0,0.85
Ruturaj Gaikwad,1.06,1.06,1.06,CSK,Batter,6.0,1,0,retained,1748.6,0.0,1748.6,IPL+T20I,635.0,0.0,1.0,,,Opener,1748.6,1.06,0.0,1.06
MS Dhoni,0.354,0.35,0.35,CSK,WK-Batter,12.0,1,0,retained,990.8,0.0,990.8,IPL+T20I,588.0,0.0,5.0,,,Middle,990.8,0.35,0.0,0.35
Vicky Ostwal,0.0,0.0,0.0,DC,Allrounder,0.2,0,0,sold,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Tim Seifert,0.453,0.45,0.45,DC,WK-Batter,0.5,1,1,sold,142.79999999999998,0.0,142.79999999999998,IPL+T20I,4.0,0.0,7.0,,,Lower,142.79999999999998,0.45,0.0,0.45
Lungi Ngidi,0.283,0.28,0.28,DC,Bowler,0.5,1,1,sold,544.3,0.0,544.3,IPL+T20I,0.0,179.0,,Middle+Death,pace bowler,,544.3,0.28,0.0,0.28
Sarfaraz Khan,0.346,0.35,0.35,DC,Batter,0.2,0,0,sold,215.0,0.0,215.0,IPL only,176.0,2.0,4.0,,spin bowler,Middle,215.0,0.35,0.0,0.35
Kamlesh Nagarkoti,0.089,0.09,0.09,DC,Bowler,1.1,0,0,sold,416.0,0.0,416.0,IPL only,33.0,172.0,9.0,Middle+Death,pace bowler,Tail,416.0,0.09,0.0,0.09
Praveen Dubey,0.37,0.37,0.37,DC,Bowler,0.5,0,0,sold,122.0,0.0,122.0,IPL only,13.0,48.0,9.0,Middle,spin bowler,Tail,122.0,0.37,0.0,0.37
Yash Dhull,0.0,0.0,0.0,DC,Batter,0.5,0,0,sold,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Rovman Powell,0.0,0.0,0.0,DC,Batter,2.8,1,1,sold,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Ripal Patel,0.533,0.53,0.53,DC,Allrounder,0.2,0,0,sold,135.0,0.0,135.0,IPL only,27.0,20.0,5.5,,pace bowler,Lower,135.0,0.53,0.0,0.53
Lalit Yadav,0.325,0.33,0.33,DC,Allrounder,0.65,0,0,sold,471.0,0.0,471.0,IPL only,73.0,84.0,6.0,Middle,spin bowler,Lower,471.0,0.33,0.0,0.33
Chetan Sakariya,0.698,0.7,0.7,DC,Bowler,4.2,1,0,sold,1036.95,0.0,1036.95,IPL+T20I,25.0,334.0,9.0,Powerplay+Middle+Death,pace bowler,Tail,1036.95,0.7,0.0,0.7
Khaleel Ahmed,0.481,0.48,0.48,DC,Bowler,5.25,1,0,sold,1043.25,0.0,1043.25,IPL+T20I,5.0,548.0,10.0,Powerplay+Middle+Death,pace bowler,Tail,1043.25,0.48,0.0,0.48
Mandeep Singh,0.482,0.48,0.48,DC,Batter,1.1,1,0,sold,392.0,0.0,392.0,IPL only,243.0,12.0,5.5,,pace bowler,Lower,392.0,0.48,0.0,0.48
Srikar Bharat,0.667,0.67,0.67,DC,WK-Batter,2.0,0,0,sold,468.0,0.0,468.0,IPL only,156.0,0.0,3.0,,,No3,468.0,0.67,0.0,0.67
Ashwin Hebbar,0.0,0.0,0.0,DC,Batter,0.2,0,0,sold,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Kuldeep Yadav,0.371,0.37,0.37,DC,Bowler,2.0,1,0,sold,437.2,0.0,437.2,IPL+T20I,29.0,277.0,9.0,Middle+Death,spin bowler,Tail,437.2,0.37,0.0,0.37
Mustafizur Rahman,0.557,0.56,0.56,DC,Bowler,2.0,1,1,sold,1149.6,0.0,1149.6,IPL+T20I,14.0,327.0,11.0,Powerplay+Middle+Death,pace bowler,Tail,1149.6,0.56,0.0,0.56
Shardul Thakur,0.545,0.55,0.55,DC,Bowler,10.75,1,0,sold,1846.35,0.0,1846.35,IPL+T20I,33.0,781.0,9.0,Powerplay+Middle+Death,pace bowler,Tail,1846.35,0.55,0.0,0.55
Mitchell Marsh,0.686,0.69,0.69,DC,Allrounder,6.5,1,1,sold,305.35,0.0,305.35,IPL+T20I,1.0,4.0,10.0,,pace bowler,Tail,305.35,0.69,0.0,0.69
David Warner,0.978,0.98,0.98,DC,Batter,6.25,1,1,sold,2001.7,0.0,2001.7,IPL+T20I,1069.0,2.0,1.0,,spin bowler,Opener,2001.7,0.98,0.0,0.98
Rishabh Pant,0.795,0.8,0.8,DC,WK-Batter,16.0,1,0,retained,1974.05,0.0,1974.05,IPL+T20I,927.0,0.0,4.0,,,Middle,1974.05,0.8,0.0,0.8
Anrich Nortje,0.881,0.88,0.88,DC,Bowler,6.5,1,1,retained,1435.8,0.0,1435.8,IPL+T20I,6.0,563.0,9.0,Powerplay+Middle+Death,pace bowler,Tail,1435.8,0.88,0.0,0.88
Axar Patel,0.773,0.77,0.77,DC,Allrounder,9.0,1,0,retained,2151.45,0.0,2151.45,IPL+T20I,219.0,894.0,7.0,Powerplay+Middle+Death,spin bowler,Lower,2151.45,0.77,0.0,0.77
Prithvi Shaw,1.518,1.52,1.52,DC,Batter,7.5,1,0,retained,1501.45,0.0,1501.45,IPL+T20I,732.0,0.0,1.0,,,Opener,1501.45,1.52,0.0,1.52
Pradeep Sangwan,0.0,0.0,0.0,GT,Bowler,0.2,0,0,sold,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Varun Aaron,0.131,0.13,0.13,GT,Bowler,0.5,1,0,sold,199.0,0.0,199.0,IPL only,17.0,128.0,11.0,Powerplay+Middle,pace bowler,Tail,199.0,0.13,0.0,0.13
Matthew Wade,0.71,0.71,0.71,GT,WK-Batter,2.4,1,1,sold,141.45,0.0,141.45,T20I only,0.0,0.0,,,,,141.45,0.71,0.0,0.71
Vijay Shankar,0.51,0.51,0.51,GT,Allrounder,1.4,1,0,sold,964.7,0.0,964.7,IPL+T20I,341.0,208.0,5.0,Middle+Death,pace bowler,Middle,964.7,0.51,0.0,0.51
Rashid Khan,0.894,0.89,0.89,GT,Bowler,15.0,1,1,drafted,2522.15,0.0,2522.15,IPL+T20I,122.0,1094.0,8.0,Powerplay+Middle+Death,spin bowler,Lower,2522.15,0.89,0.0,0.89
Sai Sudharsan,0.0,0.0,0.0,GT,Batter,0.2,0,0,sold,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
