team,player,role,detail_role,sal,source,overseas,capped
CSK,Piyush Chawla,Allrounder,,2.4,released,,
CSK,Kedar Jadhav,Allrounder,,2.0,released,,
DC,Mohit Sharma,Batter,,0.3,released,,
DC,Tushar Deshpande,Batter,,0.3,released,,
DC,Alex Carey,Batter,,0.3,released,,
KKR,Chris Green,Batter,,0.3,released,,
MI,Nathan Coulter-Nile,Bowler,,5.0,released,OS,
PBKS,Sheldon Cottrell,Batter,,0.3,released,,
PBKS,Krishnappa Gowtham,Allrounder,,9.25,released,,
PBKS,Glenn Maxwell,Allrounder,,14.25,released,OS,
PBKS,James Neesham,Allrounder,,0.5,released,OS,
PBKS,Mujeeb Ur Rahman,Bowler,,1.5,released,OS,
PBKS,Karun Nair,Batter,,0.5,released,,
RCB,Aaron Finch,Batter,,0.3,released,,
RCB,Isuru Udana,Batter,,0.3,released,,
RCB,Moeen Ali,Allrounder,,7.0,released,OS,
RCB,Shivam Dube,Allrounder,,4.4,released,,
RCB,Chris Morris,Allrounder,,16.25,released,OS,
RCB,Umesh Yadav,Bowler,,1.0,released,,
RCB,Gurkeerat Singh Mann,Batter,,0.3,released,,
RR,Varun Aaron,Batter,,0.3,released,,
RR,Ankit Rajpoot,Batter,,0.3,released,,
RR,Tom Curran,Allrounder,,5.25,released,OS,
RR,Steven Smith,Batter,,2.2,released,OS,
