player,pWAR_final,pWAR,WAR_recent,team,role,salary,capped,overseas,auctionStatus,ipl_balls_wtd,t20i_balls_wtd,balls_eq,source,ipl_balls_faced,ipl_balls_bowled,bat_pos,bowl_phase,bowl_kind,bat_group,balls_recent,pWAR_base,chg,WAR
Umesh Yadav,0.211,0.21,0.21,DC,Bowler,1.0,0,0,sold,997.6,0.0,997.6,IPL+T20I,38.0,615.0,9.0,Powerplay+Middle+Death,pace bowler,Tail,997.6,0.21,0.0,0.21
Steven Smith,0.693,0.69,0.69,DC,Batter,2.2,0,1,sold,1364.05,0.0,1364.05,IPL+T20I,512.0,0.0,3.0,,,No3,1364.05,0.69,0.0,0.69
Avesh Khan,0.288,0.29,0.29,DC,Bowler,0.7,0,0,retained,229.0,0.0,229.0,IPL only,3.0,161.0,9.0,Powerplay+Middle,pace bowler,Tail,229.0,0.29,0.0,0.29
Ishant Sharma,0.991,0.99,0.99,DC,Bowler,1.1,0,0,retained,612.0,0.0,612.0,IPL only,3.0,305.0,11.0,Powerplay+Middle+Death,pace bowler,Tail,612.0,0.99,0.0,0.99
Anrich Nortje,0.635,0.63,0.63,DC,Bowler,0.5,0,1,retained,1167.3,0.0,1167.3,IPL+T20I,6.0,376.0,9.0,Powerplay+Middle+Death,pace bowler,Tail,1167.3,0.63,0.0,0.63
Kagiso Rabada,0.535,0.53,0.53,DC,Bowler,4.2,0,1,retained,2019.45,0.0,2019.45,IPL+T20I,64.0,703.0,9.0,Powerplay+Middle+Death,pace bowler,Tail,2019.45,0.53,0.0,0.53
Praveen Dubey,0.28,0.28,0.28,DC,Bowler,0.2,0,0,retained,183.0,0.0,183.0,IPL only,13.0,48.0,9.0,Middle,spin bowler,Tail,183.0,0.28,0.0,0.28
Lalit Yadav,0.0,0.0,0.0,DC,Allrounder,0.2,0,0,retained,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Amit Mishra,0.472,0.47,0.47,DC,Bowler,4.0,0,0,retained,935.0,0.0,935.0,IPL only,26.0,530.0,9.0,Middle+Death,spin bowler,Tail,935.0,0.47,0.0,0.47
Axar Patel,0.571,0.57,0.57,DC,Allrounder,5.0,0,0,retained,2187.05,0.0,2187.05,IPL+T20I,242.0,773.0,7.0,Powerplay+Middle+Death,spin bowler,Lower,2187.05,0.57,0.0,0.57
Ravichandran Ashwin,0.6,0.6,0.6,DC,Allrounder,7.6,0,0,retained,2111.0,0.0,2111.0,IPL only,133.0,968.0,7.0,Powerplay+Middle+Death,spin bowler,Lower,2111.0,0.6,0.0,0.6
Chris Woakes,0.481,0.48,0.48,DC,Allrounder,1.5,0,1,retained,129.0,0.0,129.0,IPL only,19.0,118.0,7.5,Powerplay+Death,pace bowler,Lower,129.0,0.48,0.0,0.48
