player,pWAR_final,pWAR,WAR_recent,team,role,salary,capped,overseas,auctionStatus,ipl_balls_wtd,t20i_balls_wtd,balls_eq,source,ipl_balls_faced,ipl_balls_bowled,bat_pos,bowl_phase,bowl_kind,bat_group,balls_recent,pWAR_base,chg,WAR
Bhagath Varma,0.0,0.0,0.0,CSK,Allrounder,0.2,0,0,sold,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Ajay Jadav Mandal,0.0,0.0,0.0,CSK,Allrounder,0.2,0,0,sold,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Kyle Jamieson,0.314,0.31,0.31,CSK,Allrounder,1.0,1,1,sold,499.7,0.0,499.7,IPL+T20I,55.0,179.0,8.0,Powerplay+Middle+Death,pace bowler,Lower,499.7,0.31,0.0,0.31
Nishant Sindhu,0.0,0.0,0.0,CSK,Allrounder,0.6,0,0,sold,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Shaik Rasheed,0.0,0.0,0.0,CSK,Batter,0.2,0,0,sold,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Ajinkya Rahane,0.318,0.32,0.32,CSK,Batter,0.5,1,0,sold,507.0,0.0,507.0,IPL only,243.0,0.0,2.0,,,Opener,507.0,0.32,0.0,0.32
Ben Stokes,0.609,0.61,0.61,CSK,Allrounder,16.25,1,1,sold,490.45,0.0,490.45,IPL+T20I,203.0,102.0,2.0,Middle+Death,pace bowler,Opener,490.45,0.61,0.0,0.61
Matheesha Pathirana,0.693,0.69,0.69,CSK,Bowler,0.2,1,1,retained,131.1,0.0,131.1,IPL+T20I,0.0,48.0,,,pace bowler,,131.1,0.69,0.0,0.69
Mukesh Choudhary,0.632,0.63,0.63,CSK,Bowler,0.2,0,0,retained,837.0,0.0,837.0,IPL only,6.0,291.0,11.0,Powerplay+Middle+Death,pace bowler,Tail,837.0,0.63,0.0,0.63
Subhranshu Senapati,0.0,0.0,0.0,CSK,Batter,0.2,0,0,retained,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Tushar Deshpande,0.16,0.16,0.16,CSK,Bowler,0.2,0,0,retained,241.0,0.0,241.0,IPL only,12.0,153.0,9.5,Powerplay+Middle,pace bowler,Tail,241.0,0.16,0.0,0.16
Mitchell Santner,0.452,0.45,0.45,CSK,Allrounder,1.9,1,1,retained,738.0,0.0,738.0,IPL+T20I,27.0,156.0,5.0,Powerplay+Middle,spin bowler,Middle,738.0,0.45,0.0,0.45
Devon Conway,1.095,1.1,1.1,CSK,Batter,1.0,1,1,retained,840.15,0.0,840.15,IPL+T20I,173.0,0.0,2.0,,,Opener,840.15,1.1,0.0,1.1
Prashant Solanki,0.647,0.65,0.65,CSK,Bowler,1.2,0,0,retained,108.0,0.0,108.0,IPL only,0.0,36.0,,,spin bowler,,108.0,0.65,0.0,0.65
Simarjeet Singh,0.56,0.56,0.56,CSK,Bowler,0.2,0,0,retained,351.0,0.0,351.0,IPL only,8.0,113.0,9.0,Powerplay,pace bowler,Tail,351.0,0.56,0.0,0.56
Deepak Chahar,0.379,0.38,0.38,CSK,Bowler,14.0,1,0,retained,1065.35,0.0,1065.35,IPL+T20I,13.0,660.0,8.5,Powerplay+Middle+Death,pace bowler,Tail,1065.35,0.38,0.0,0.38
Ambati Rayudu,0.858,0.86,0.86,CSK,WK-Batter,6.75,1,0,retained,1294.0,0.0,1294.0,IPL only,676.0,0.0,4.0,,,Middle,1294.0,0.86,0.0,0.86
Rajvardhan Hangargekar,0.0,0.0,0.0,CSK,Bowler,1.5,0,0,retained,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Maheesh Theekshana,0.53,0.53,0.53,CSK,Bowler,0.7,1,1,retained,922.2,0.0,922.2,IPL+T20I,7.0,212.0,10.0,Powerplay+Middle+Death,spin bowler,Tail,922.2,0.53,0.0,0.53
Shivam Dube,0.602,0.6,0.6,CSK,Allrounder,4.0,1,0,retained,1209.5,0.0,1209.5,IPL+T20I,483.0,100.0,5.0,Middle+Death,pace bowler,Middle,1209.5,0.6,0.0,0.6
Dwaine Pretorius,0.522,0.52,0.52,CSK,Allrounder,0.5,1,1,retained,635.4,0.0,635.4,IPL+T20I,28.0,138.0,8.0,Middle+Death,pace bowler,Lower,635.4,0.52,0.0,0.52
Ravindra Jadeja,0.525,0.52,0.52,CSK,Allrounder,16.0,1,0,retained,2310.0,0.0,2310.0,IPL+T20I,389.0,724.0,6.0,Middle+Death,spin bowler,Lower,2310.0,0.52,0.0,0.52
MS Dhoni,0.344,0.34,0.34,CSK,WK-Batter,12.0,1,0,retained,950.0,0.0,950.0,IPL only,467.0,0.0,6.0,,,Lower,950.0,0.34,0.0,0.34
Moeen Ali,0.701,0.7,0.7,CSK,Allrounder,8.0,1,1,retained,2165.45,0.0,2165.45,IPL+T20I,453.0,332.0,3.0,Middle,spin bowler,No3,2165.45,0.7,0.0,0.7
Ruturaj Gaikwad,1.044,1.04,1.04,CSK,Batter,6.0,1,0,retained,2018.85,0.0,2018.85,IPL+T20I,926.0,0.0,1.0,,,Opener,2018.85,1.04,0.0,1.04
Rilee Rossouw,0.774,0.77,0.77,DC,Batter,4.6,1,1,sold,94.95,0.0,94.95,T20I only,0.0,0.0,,,,,94.95,0.77,0.0,0.77
Manish Pandey,0.558,0.56,0.56,DC,Batter,2.4,1,0,sold,1057.6,0.0,1057.6,IPL+T20I,649.0,0.0,3.0,,,No3,1057.6,0.56,0.0,0.56
Mukesh Kumar,0.0,0.0,0.0,DC,Bowler,5.5,0,0,sold,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Ishant Sharma,0.488,0.49,0.49,DC,Bowler,0.5,1,0,sold,162.0,0.0,162.0,IPL only,0.0,92.0,,Powerplay,pace bowler,,162.0,0.49,0.0,0.49
Phil Salt,0.729,0.73,0.73,DC,Batter,2.0,1,1,sold,68.39999999999999,0.0,68.39999999999999,T20I only,0.0,0.0,,,,,68.39999999999999,0.73,0.0,0.73
Aman Hakim Khan,0.0,0.0,0.0,DC,Bowler,0.2,0,0,traded,0.0,0.0,0.0,prior,3.0,6.0,9.0,,pace bowler,Tail,0.0,0.0,0.0,0.0
Yash Dhull,0.0,0.0,0.0,DC,Batter,0.5,0,0,retained,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Praveen Dubey,0.482,0.48,0.48,DC,Bowler,0.5,0,0,retained,61.0,0.0,61.0,IPL only,13.0,48.0,9.0,Middle,spin bowler,Tail,61.0,0.48,0.0,0.48
Sarfaraz Khan,0.129,0.13,0.13,DC,Batter,0.2,0,0,retained,238.0,0.0,238.0,IPL only,100.0,0.0,5.0,,,Middle,238.0,0.13,0.0,0.13
Kuldeep Yadav,0.269,0.27,0.27,DC,Bowler,2.0,1,0,retained,1188.4,0.0,1188.4,IPL+T20I,73.0,381.0,9.0,Middle+Death,spin bowler,Tail,1188.4,0.27,0.0,0.27
Kamlesh Nagarkoti,0.13,0.13,0.13,DC,Bowler,1.1,0,0,retained,251.0,0.0,251.0,IPL only,33.0,185.0,9.0,Middle+Death,pace bowler,Tail,251.0,0.13,0.0,0.13
Mustafizur Rahman,0.599,0.6,0.6,DC,Bowler,2.0,1,1,retained,1443.3,0.0,1443.3,IPL+T20I,19.0,526.0,11.0,Powerplay+Middle+Death,pace bowler,Tail,1443.3,0.6,0.0,0.6
Rovman Powell,0.638,0.64,0.64,DC,Batter,2.8,1,1,retained,690.15,0.0,690.15,IPL+T20I,167.0,7.0,6.0,,pace bowler,Lower,690.15,0.64,0.0,0.64
Ripal Patel,0.623,0.62,0.62,DC,Allrounder,0.2,0,0,retained,99.0,0.0,99.0,IPL only,30.0,20.0,6.0,,pace bowler,Lower,99.0,0.62,0.0,0.62
Vicky Ostwal,0.0,0.0,0.0,DC,Allrounder,0.2,0,0,retained,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Mitchell Marsh,0.836,0.84,0.84,DC,Allrounder,6.5,1,1,retained,1057.85,0.0,1057.85,IPL+T20I,190.0,80.0,3.0,Middle,pace bowler,No3,1057.85,0.84,0.0,0.84
Chetan Sakariya,0.645,0.65,0.65,DC,Bowler,4.2,1,0,retained,889.3,0.0,889.3,IPL+T20I,25.0,405.0,9.0,Powerplay+Middle+Death,pace bowler,Tail,889.3,0.65,0.0,0.65
Lungi Ngidi,0.398,0.4,0.4,DC,Bowler,0.5,1,1,retained,422.0,0.0,422.0,IPL+T20I,0.0,179.0,,Middle+Death,pace bowler,,422.0,0.4,0.0,0.4
Khaleel Ahmed,0.67,0.67,0.67,DC,Bowler,5.25,1,0,retained,1200.0,0.0,1200.0,IPL only,6.0,568.0,10.0,Powerplay+Middle+Death,pace bowler,Tail,1200.0,0.67,0.0,0.67
Lalit Yadav,0.337,0.34,0.34,DC,Allrounder,0.65,0,0,retained,1079.0,0.0,1079.0,IPL only,219.0,194.0,5.0,Powerplay+Middle,spin bowler,Middle,1079.0,0.34,0.0,0.34
David Warner,1.19,1.19,1.19,DC,Batter,6.25,1,1,retained,1815.35,0.0,1815.35,IPL+T20I,875.0,2.0,1.0,,spin bowler,Opener,1815.35,1.19,0.0,1.19
Anrich Nortje,0.545,0.55,0.55,DC,Bowler,6.5,1,1,retained,1352.8,0.0,1352.8,IPL+T20I,12.0,706.0,9.5,Powerplay+Middle+Death,pace bowler,Tail,1352.8,0.55,0.0,0.55
Prithvi Shaw,1.665,1.67,1.67,DC,Batter,7.5,1,0,retained,1324.3,0.0,1324.3,IPL+T20I,653.0,0.0,1.0,,,Opener,1324.3,1.67,0.0,1.67
Rishabh Pant,0.829,0.83,0.83,DC,WK-Batter,16.0,1,0,retained,1790.75,0.0,1790.75,IPL+T20I,851.0,0.0,4.0,,,Middle,1790.75,0.83,0.0,0.83
