team,player,role,detail_role,sal,source,overseas,capped
DC,Rilee Rossouw,Batter,,8.0,released,OS,
DC,Phil Salt,Batter,,0.3,released,,
DC,Chetan Sakariya,Bowler,,0.5,released,,
DC,Manish Pandey,Batter,,0.5,released,,
DC,Rovman Powell,Batter,,7.4,released,OS,
DC,Sarfaraz Khan,Batter,,0.3,released,,
DC,Mustafizur Rahman,Bowler,,2.0,released,OS,
GT,Yash Dayal,Bowler,,5.0,released,,
GT,Alzarri Joseph,Bowler,,11.5,released,OS,
KKR,Umesh Yadav,Bowler,,5.8,released,,
KKR,Shardul Thakur,Bowler,,4.0,released,,
KKR,Lockie Ferguson,Bowler,,2.0,released,OS,
LSG,Manan Vohra,Batter,,0.3,released,,
LSG,Swapnil Singh,Allrounder,,0.2,released,,
LSG,Jaydev Unadkat,Bowler,,1.6,released,,
MI,Hrithik Shokeen,Batter,,0.3,released,,
MI,Arshad Khan,Bowler,,0.2,released,,
MI,Tristan Stubbs,WK-Batter,,0.5,released,OS,
PBKS,M Shahrukh Khan,Allrounder,,7.4,released,,
RCB,Wanindu Hasaranga,Allrounder,,1.5,released,OS,
RCB,Josh Hazlewood,Batter,,0.3,released,,
RCB,Harshal Patel,Bowler,,11.75,released,,
RCB,Michael Bracewell,Batter,,0.3,released,,
RCB,David Willey,Allrounder,,2.0,released,OS,
RR,Kuldip Yadav,Batter,,0.3,released,,
RR,KM Asif,Batter,,0.3,released,,
RR,Murugan Ashwin,Batter,,0.3,released,,
SRH,Kartik Tyagi,Bowler,,0.6,released,,
SRH,Vivrant Sharma,Batter,,0.3,released,,
SRH,Akeal Hosein,Batter,,0.3,released,,
SRH,Adil Rashid,Batter,,0.3,released,,
SRH,Harry Brook,Batter,,4.0,released,OS,
