player,pWAR_final,pWAR,WAR_recent,team,role,salary,capped,overseas,auctionStatus,ipl_balls_wtd,t20i_balls_wtd,balls_eq,source,ipl_balls_faced,ipl_balls_bowled,bat_pos,bowl_phase,bowl_kind,bat_group,balls_recent,pWAR_base,chg,WAR
Aravelly Avanish,0.0,0.0,0.0,CSK,WK-Batter,0.2,0,0,sold,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Mustafizur Rahman,0.478,0.48,0.48,CSK,Bowler,2.0,1,1,sold,1053.4,0.0,1053.4,IPL+T20I,20.0,568.0,11.0,Powerplay+Middle+Death,pace bowler,Tail,1053.4,0.48,0.0,0.48
Sameer Rizvi,0.0,0.0,0.0,CSK,Batter,8.4,0,0,sold,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Daryl Mitchell,0.309,0.31,0.31,CSK,Allrounder,14.0,1,1,sold,343.9,0.0,343.9,IPL+T20I,44.0,13.0,4.0,,pace bowler,Middle,343.9,0.31,0.0,0.31
Rachin Ravindra,0.496,0.5,0.5,CSK,Allrounder,1.8,1,1,sold,100.65,0.0,100.65,T20I only,0.0,0.0,,,,,100.65,0.5,0.0,0.5
Shardul Thakur,0.284,0.28,0.28,CSK,Bowler,4.0,1,0,sold,1744.05,0.0,1744.05,IPL+T20I,162.0,835.0,8.0,Powerplay+Middle+Death,pace bowler,Lower,1744.05,0.28,0.0,0.28
Ajay Jadav Mandal,0.0,0.0,0.0,CSK,Allrounder,0.2,0,0,retained,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Prashant Solanki,0.622,0.62,0.62,CSK,Bowler,1.2,0,0,retained,72.0,0.0,72.0,IPL only,0.0,36.0,,,spin bowler,,72.0,0.62,0.0,0.62
Shaik Rasheed,0.0,0.0,0.0,CSK,Batter,0.2,0,0,retained,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Simarjeet Singh,0.616,0.62,0.62,CSK,Bowler,0.2,0,0,retained,234.0,0.0,234.0,IPL only,8.0,113.0,9.0,Powerplay,pace bowler,Tail,234.0,0.62,0.0,0.62
Mukesh Choudhary,0.521,0.52,0.52,CSK,Bowler,0.2,0,0,retained,558.0,0.0,558.0,IPL only,6.0,291.0,11.0,Powerplay+Middle+Death,pace bowler,Tail,558.0,0.52,0.0,0.52
Rajvardhan Hangargekar,0.526,0.53,0.53,CSK,Bowler,1.5,0,0,retained,111.0,0.0,111.0,IPL only,0.0,43.0,,,pace bowler,,111.0,0.53,0.0,0.53
Tushar Deshpande,0.26,0.26,0.26,CSK,Bowler,0.2,0,0,retained,1122.0,0.0,1122.0,IPL only,1.0,411.0,10.0,Powerplay+Middle+Death,pace bowler,Tail,1122.0,0.26,0.0,0.26
Matheesha Pathirana,0.7,0.7,0.7,CSK,Bowler,0.2,1,1,retained,924.4,0.0,924.4,IPL+T20I,0.0,358.0,,Middle+Death,pace bowler,,924.4,0.7,0.0,0.7
Maheesh Theekshana,0.329,0.33,0.33,CSK,Bowler,0.7,1,1,retained,1558.4,0.0,1558.4,IPL+T20I,7.0,510.0,10.0,Powerplay+Middle+Death,spin bowler,Tail,1558.4,0.33,0.0,0.33
Ruturaj Gaikwad,1.211,1.21,1.21,CSK,Batter,6.0,1,0,retained,2388.1,0.0,2388.1,IPL+T20I,1157.0,0.0,1.0,,,Opener,2388.1,1.21,0.0,1.21
MS Dhoni,0.489,0.49,0.49,CSK,WK-Batter,12.0,1,0,retained,654.0,0.0,654.0,IPL only,352.0,0.0,6.0,,,Lower,654.0,0.49,0.0,0.49
Devon Conway,1.221,1.22,1.22,CSK,WK-Batter,1.0,1,1,retained,2007.7,0.0,2007.7,IPL+T20I,654.0,0.0,2.0,,,Opener,2007.7,1.22,0.0,1.22
Deepak Chahar,0.349,0.35,0.35,CSK,Bowler,14.0,1,0,retained,1007.5,0.0,1007.5,IPL+T20I,3.0,554.0,9.5,Powerplay+Middle+Death,pace bowler,Tail,1007.5,0.35,0.0,0.35
Ajinkya Rahane,1.232,1.23,1.23,CSK,Batter,0.5,1,0,retained,831.0,0.0,831.0,IPL only,325.0,0.0,3.0,,,No3,831.0,1.23,0.0,1.23
Shivam Dube,1.044,1.04,1.04,CSK,Allrounder,4.0,1,0,retained,1438.25,0.0,1438.25,IPL+T20I,642.0,45.0,4.0,Middle,pace bowler,Middle,1438.25,1.04,0.0,1.04
Ravindra Jadeja,0.559,0.56,0.56,CSK,Allrounder,16.0,1,0,retained,2588.85,0.0,2588.85,IPL+T20I,387.0,851.0,6.0,Middle+Death,spin bowler,Lower,2588.85,0.56,0.0,0.56
Nishant Sindhu,0.0,0.0,0.0,CSK,Allrounder,0.6,0,0,retained,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Moeen Ali,0.517,0.52,0.52,CSK,Allrounder,8.0,1,1,retained,2085.3,0.0,2085.3,IPL+T20I,528.0,457.0,3.0,Middle,spin bowler,No3,2085.3,0.52,0.0,0.52
Mitchell Santner,0.473,0.47,0.47,CSK,Allrounder,1.9,1,1,retained,803.7,0.0,803.7,IPL+T20I,31.0,186.0,7.5,Powerplay+Middle,spin bowler,Lower,803.7,0.47,0.0,0.47
Swastik Chikara,0.0,0.0,0.0,DC,Batter,0.2,0,0,sold,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Shai Hope,0.544,0.54,0.54,DC,WK-Batter,0.75,1,1,sold,74.85,0.0,74.85,T20I only,0.0,0.0,,,,,74.85,0.54,0.0,0.54
Sumit Kumar,0.0,0.0,0.0,DC,Allrounder,1.0,0,0,sold,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Jhye Richardson,0.296,0.3,0.3,DC,Bowler,5.0,1,1,sold,142.95,0.0,142.95,IPL+T20I,24.0,69.0,7.0,Middle,pace bowler,Lower,142.95,0.3,0.0,0.3
Rasikh Salam,0.551,0.55,0.55,DC,Bowler,0.2,0,0,sold,60.0,0.0,60.0,IPL only,6.0,24.0,10.0,,pace bowler,Tail,60.0,0.55,0.0,0.55
Kumar Kushagra,0.0,0.0,0.0,DC,WK-Batter,7.2,0,0,sold,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Ricky Bhui,0.0,0.0,0.0,DC,WK-Batter,0.2,0,0,sold,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Tristan Stubbs,0.38,0.38,0.38,DC,WK-Batter,0.5,1,1,sold,192.65,0.0,192.65,IPL+T20I,35.0,12.0,6.0,,spin bowler,Lower,192.65,0.38,0.0,0.38
Harry Brook,0.43,0.43,0.43,DC,Batter,4.0,1,1,sold,590.7,0.0,590.7,IPL+T20I,154.0,0.0,3.0,,,No3,590.7,0.43,0.0,0.43
Mukesh Kumar,-0.005,-0.0,-0.0,DC,Bowler,5.5,1,0,retained,682.95,0.0,682.95,IPL+T20I,9.0,197.0,11.0,Powerplay+Middle+Death,pace bowler,Tail,682.95,-0.0,0.0,-0.0
Ishant Sharma,0.632,0.63,0.63,DC,Bowler,0.5,1,0,retained,528.0,0.0,528.0,IPL only,1.0,229.0,11.0,Powerplay+Middle+Death,pace bowler,Tail,528.0,0.63,0.0,0.63
Khaleel Ahmed,0.465,0.47,0.47,DC,Bowler,5.25,1,0,retained,1241.0,0.0,1241.0,IPL only,4.0,622.0,10.0,Powerplay+Middle+Death,pace bowler,Tail,1241.0,0.47,0.0,0.47
Lungi Ngidi,0.442,0.44,0.44,DC,Bowler,0.5,1,1,retained,201.75,0.0,201.75,IPL+T20I,0.0,75.0,,Middle,pace bowler,,201.75,0.44,0.0,0.44
Kuldeep Yadav,0.361,0.36,0.36,DC,Bowler,2.0,1,0,retained,1838.2,0.0,1838.2,IPL+T20I,100.0,606.0,9.0,Middle+Death,spin bowler,Tail,1838.2,0.36,0.0,0.36
Anrich Nortje,0.562,0.56,0.56,DC,Bowler,6.5,1,1,retained,1405.85,0.0,1405.85,IPL+T20I,35.0,581.0,10.0,Powerplay+Middle+Death,pace bowler,Tail,1405.85,0.56,0.0,0.56
Vicky Ostwal,0.0,0.0,0.0,DC,Bowler,0.2,0,0,retained,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Praveen Dubey,0.582,0.58,0.58,DC,Bowler,0.5,0,0,retained,114.0,0.0,114.0,IPL only,20.0,19.0,8.0,,spin bowler,Lower,114.0,0.58,0.0,0.58
Abishek Porel,0.227,0.23,0.23,DC,WK-Batter,0.2,0,0,retained,93.0,0.0,93.0,IPL only,31.0,0.0,7.0,,,Lower,93.0,0.23,0.0,0.23
Yash Dhull,0.095,0.09,0.09,DC,Batter,0.5,0,0,retained,69.0,0.0,69.0,IPL only,23.0,0.0,4.0,,,Middle,69.0,0.09,0.0,0.09
Prithvi Shaw,0.994,0.99,0.99,DC,Batter,7.5,1,0,retained,926.15,0.0,926.15,IPL+T20I,571.0,0.0,1.0,,,Opener,926.15,0.99,0.0,0.99
David Warner,1.012,1.01,1.01,DC,Batter,6.25,1,1,retained,2029.55,0.0,2029.55,IPL+T20I,860.0,0.0,1.0,,,Opener,2029.55,1.01,0.0,1.01
Rishabh Pant,0.943,0.94,0.94,DC,WK-Batter,16.0,1,0,retained,877.35,0.0,877.35,IPL+T20I,550.0,0.0,4.0,,,Middle,877.35,0.94,0.0,0.94
Mitchell Marsh,0.807,0.81,0.81,DC,Allrounder,6.5,1,1,retained,1365.75,0.0,1365.75,IPL+T20I,286.0,208.0,3.0,Middle+Death,pace bowler,No3,1365.75,0.81,0.0,0.81
Lalit Yadav,0.25,0.25,0.25,DC,Allrounder,0.65,0,0,retained,1078.0,0.0,1078.0,IPL only,278.0,276.0,6.0,Powerplay+Middle,spin bowler,Lower,1078.0,0.25,0.0,0.25
Axar Patel,0.704,0.7,0.7,DC,Allrounder,9.0,1,0,retained,2818.75,0.0,2818.75,IPL+T20I,369.0,828.0,7.0,Powerplay+Middle+Death,spin bowler,Lower,2818.75,0.7,0.0,0.7
Robin Minz,0.0,0.0,0.0,GT,WK-Batter,3.6,0,0,sold,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Spencer Johnson,0.0,0.0,0.0,GT,Bowler,10.0,1,1,sold,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Manav Suthar,0.0,0.0,0.0,GT,Bowler,0.2,0,0,sold,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Kartik Tyagi,0.131,0.13,0.13,GT,Bowler,0.6,0,0,sold,324.0,0.0,324.0,IPL only,10.0,191.0,9.0,Powerplay+Middle+Death,pace bowler,Tail,324.0,0.13,0.0,0.13
Sushant Mishra,0.0,0.0,0.0,GT,Bowler,2.2,0,0,sold,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
M Shahrukh Khan,0.493,0.49,0.49,GT,Allrounder,7.4,0,0,sold,612.0,0.0,612.0,IPL only,316.0,0.0,6.0,,,Lower,612.0,0.49,0.0,0.49
Umesh Yadav,0.55,0.55,0.55,GT,Bowler,5.8,1,0,sold,1076.1,0.0,1076.1,IPL+T20I,58.0,413.0,9.0,Powerplay+Middle,pace bowler,Tail,1076.1,0.55,0.0,0.55
Azmatullah Omarzai,0.516,0.52,0.52,GT,Allrounder,0.5,1,1,sold,138.29999999999998,0.0,138.29999999999998,T20I only,0.0,0.0,,,,,138.29999999999998,0.52,0.0,0.52
Mohit Sharma,0.882,0.88,0.88,GT,Bowler,0.5,1,0,retained,798.0,0.0,798.0,IPL only,1.0,268.0,11.0,Middle+Death,pace bowler,Tail,798.0,0.88,0.0,0.88
Josh Little,0.453,0.45,0.45,GT,Bowler,4.4,1,1,retained,775.35,0.0,775.35,IPL+T20I,0.0,211.0,,Powerplay+Middle+Death,pace bowler,,775.35,0.45,0.0,0.45
Sai Kishore,0.885,0.89,0.89,GT,Bowler,3.0,1,0,retained,214.05,0.0,214.05,IPL+T20I,0.0,98.0,,Middle,spin bowler,,214.05,0.89,0.0,0.89
Noor Ahmad,0.606,0.61,0.61,GT,Bowler,0.3,1,1,retained,883.2,0.0,883.2,IPL+T20I,9.0,299.0,9.0,Middle+Death,spin bowler,Tail,883.2,0.61,0.0,0.61
Mohammed Shami,0.791,0.79,0.79,GT,Bowler,6.25,1,0,retained,2294.75,0.0,2294.75,IPL+T20I,23.0,1104.0,10.0,Powerplay+Middle+Death,pace bowler,Tail,2294.75,0.79,0.0,0.79
Jayant Yadav,0.508,0.51,0.51,GT,Bowler,1.7,1,0,retained,200.0,0.0,200.0,IPL only,26.0,130.0,8.5,Powerplay+Middle,spin bowler,Tail,200.0,0.51,0.0,0.51
Darshan Nalkande,0.124,0.12,0.12,GT,Bowler,0.2,0,0,retained,140.0,0.0,140.0,IPL only,1.0,58.0,9.0,Middle,pace bowler,Tail,140.0,0.12,0.0,0.12
Sai Sudharsan,1.0,1.0,1.0,GT,Batter,0.2,0,0,retained,996.0,0.0,996.0,IPL only,370.0,0.0,3.0,,,No3,996.0,1.0,0.0,1.0
David Miller,0.727,0.73,0.73,GT,Batter,3.0,1,1,retained,1460.5,0.0,1460.5,IPL+T20I,628.0,0.0,5.0,,,Middle,1460.5,0.73,0.0,0.73
Kane Williamson,0.36,0.36,0.36,GT,Batter,2.0,1,1,retained,847.0,0.0,847.0,IPL+T20I,466.0,0.0,2.0,,,Opener,847.0,0.36,0.0,0.36
Wriddhiman Saha,0.539,0.54,0.54,GT,WK-Batter,1.9,1,0,retained,1519.0,0.0,1519.0,IPL only,686.0,0.0,1.0,,,Opener,1519.0,0.54,0.0,0.54
Matthew Wade,0.508,0.51,0.51,GT,WK-Batter,2.4,1,1,retained,404.4,0.0,404.4,IPL+T20I,138.0,0.0,2.5,,,No3,404.4,0.51,0.0,0.51
Shubman Gill,1.325,1.33,1.33,GT,Batter,8.0,1,0,retained,2920.75,0.0,2920.75,IPL+T20I,1331.0,0.0,2.0,,,Opener,2920.75,1.33,0.0,1.33
Abhinav Manohar,0.673,0.67,0.67,GT,Allrounder,2.6,0,0,retained,399.0,0.0,399.0,IPL only,158.0,0.0,6.0,,,Lower,399.0,0.67,0.0,0.67
Vijay Shankar,0.755,0.76,0.76,GT,Allrounder,1.4,1,0,retained,771.0,0.0,771.0,IPL only,275.0,82.0,4.0,Middle,pace bowler,Middle,771.0,0.76,0.0,0.76
Rashid Khan,0.786,0.79,0.79,GT,Allrounder,15.0,1,1,retained,2861.0,0.0,2861.0,IPL+T20I,173.0,1136.0,8.0,Powerplay+Middle+Death,spin bowler,Lower,2861.0,0.79,0.0,0.79
Rahul Tewatia,0.131,0.13,0.13,GT,Allrounder,9.0,0,0,retained,945.0,0.0,945.0,IPL only,351.0,279.0,6.0,Middle,spin bowler,Lower,945.0,0.13,0.0,0.13
Sakib Hussain,0.0,0.0,0.0,KKR,Bowler,0.2,0,0,sold,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Gus Atkinson,0.0,0.0,0.0,KKR,Bowler,1.0,1,1,sold,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Mujeeb Ur Rahman,0.568,0.57,0.57,KKR,Bowler,2.0,1,1,sold,179.35,0.0,179.35,IPL+T20I,1.0,26.0,11.0,,spin bowler,Tail,179.35,0.57,0.0,0.57
Manish Pandey,0.246,0.25,0.25,KKR,Batter,0.5,1,0,sold,834.0,0.0,834.0,IPL only,462.0,0.0,3.0,,,No3,834.0,0.25,0.0,0.25
Sherfane Rutherford,0.41,0.41,0.41,KKR,Batter,1.5,1,1,sold,120.25,0.0,120.25,IPL+T20I,50.0,0.0,5.0,,,Middle,120.25,0.41,0.0,0.41
Ramandeep Singh,0.511,0.51,0.51,KKR,Allrounder,0.2,0,0,sold,152.0,0.0,152.0,IPL only,40.0,41.0,6.5,,pace bowler,Lower,152.0,0.51,0.0,0.51
Angkrish Raghuvanshi,0.0,0.0,0.0,KKR,Batter,0.2,0,0,sold,0.0,0.0,0.0,prior,0.0,0.0,,,,,0.0,0.0,0.0,0.0
Mitchell Starc,0.427,0.43,0.43,KKR,Bowler,24.75,1,1,sold,126.6,0.0,126.6,T20I only,0.0,0.0,,,,,126.6,0.43,0.0,0.43
Chetan Sakariya,0.475,0.48,0.48,KKR,Bowler,0.5,1,0,sold,642.65,0.0,642.65,IPL+T20I,31.0,460.0,10.0,Powerplay+Middle+Death,pace bowler,Tail,642.65,0.48,0.0,0.48
Srikar Bharat,0.562,0.56,0.56,KKR,WK-Batter,0.5,1,0,sold,170.0,0.0,170.0,IPL only,163.0,0.0,3.0,,,No3,170.0,0.56,0.0,0.56
Varun Chakravarthy,0.461,0.46,0.46,KKR,Bowler,8.0,1,0,retained,1917.85,0.0,1917.85,IPL+T20I,31.0,984.0,10.0,Powerplay+Middle+Death,spin bowler,Tail,1917.85,0.46,0.0,0.46
