team,player,role,sal,os,origin,bat_rate,bowl_rate,ipl_bf,ipl_bb,src,bat_rate_v,bowl_rate_v,bat_source,reliability_score
SRH,Nitish Kumar Reddy,Allrounder,6.0,0.0,squad_2026,0.0380845395159289,-0.0744675451354378,502.0,297.0,IPL,,,,
SRH,Onkar Tukaram Tarmale,Bowler,0.3,0.0,squad_2026,-0.253939941610228,0.156542315570694,,,Role Prior,-0.253939941610228,0.156542315570694,Role Prior,
SRH,Pat Cummins,Allrounder,18.0,1.0,squad_2026,0.098987568462761,0.1649846026967837,170.0,786.0,IPL,,,,
SRH,Praful Hinge,Bowler,0.3,0.0,squad_2026,0.079064745968098,0.1501362513626252,9.0,116.0,IPL,-0.3291443982816303,0.1501362513626252,Role Prior,0.6
SRH,Ravichandran Smaran,Batter,0.3,0.0,squad_2026,0.0455683636634182,0.0530082846589715,19.0,0.0,Role Prior,,,,
SRH,Sakib Hussain,Bowler,0.3,0.0,squad_2026,0.1216510655589099,0.1323483792265984,0.0,181.0,IPL,-0.253939941610228,0.1323483792265984,Role Prior,0.65
SRH,Salil Arora,WK-Batter,1.5,0.0,squad_2026,0.0706934410140839,0.0530082846589715,72.0,0.0,IPL_thin,0.1108922724156532,,Role Prior + SMAT,0.32
SRH,Shivam Mavi,Bowler,0.75,0.0,squad_2026,-0.253939941610228,0.0604923612496705,,,Role Prior,-0.253939941610228,0.0604923612496705,Role Prior,0.32
SRH,Shivang Kumar,Allrounder,0.3,0.0,squad_2026,-0.0052644168034323,-0.0234837778890515,22.0,192.0,IPL,-0.3494760702862573,-0.0234837778890515,Role Prior + SMAT,0.66
SRH,Travis Head,Batter,14.0,1.0,squad_2026,0.2341672206508206,-0.0419208013482874,737.0,10.0,IPL,,,,
SRH,Zeeshan Ansari,Bowler,0.4,0.0,squad_2026,0.1216510655589099,-0.0533828166446817,0.0,204.0,IPL,,,,
