player,bf,v_bat,rate_bat,bb,v_bowl,rate_bowl,balls,VORP,rate,WAR_cum,wballs,WAR,target,t_years,is_mega
Imran Tahir,0.0,0.0,0.0,24.0,22.37571254891033,0.932321356204597,24.0,22.37571254891033,0.932321356204597,0.27122075816861,24.0,3.3902594771076253,2024,1,False
Heinrich Klaasen,759.0,549.4327594494029,0.7238903286553398,0.0,0.0,0.0,759.0,549.4327594494029,0.7238903286553398,6.659791023629126,759.0,2.632328467837599,2024,1,False
Reece Topley,0.0,0.0,0.0,36.0,25.27973404642721,0.702214834622978,36.0,25.27973404642721,0.702214834622978,0.3064210187445722,36.0,2.5535084895381015,2024,1,False
Suryakumar Yadav,1639.0,1033.4823176978227,0.6305566306881164,0.0,0.0,0.0,1639.0,1033.4823176978227,0.6305566306881164,12.527058396337246,1639.0,2.2929332025022413,2024,1,False
Sai Kishore,0.0,0.0,0.0,192.0,101.22896628434522,0.5272341993976314,192.0,101.22896628434522,0.5272341993976314,1.2270177731435785,192.0,1.9172152705368413,2024,1,False
Yashasvi Jaiswal,1702.0,892.6417170547891,0.5244663437454695,2.0,-9.61390614902409,-4.806953074512045,1704.0,883.027810905765,0.5182088092169983,10.703367404918364,1704.0,1.884395669879994,2024,1,False
Dewald Brevis,226.0,118.2545711974409,0.5232503150329243,6.0,-1.4315802819753292,-0.23859671366255486,232.0,116.82299091546557,0.5035473746356275,1.4160362535207947,232.0,1.8310813623113729,2024,1,False
Ajinkya Rahane,831.0,406.9237067710068,0.48967955086763754,0.0,0.0,0.0,831.0,406.9237067710068,0.48967955086763754,4.9324085669212945,831.0,1.7806529122459547,2024,1,False
Nicholas Pooran,1121.0,547.9650195792804,0.4888180370912403,0.0,0.0,0.0,1121.0,547.9650195792804,0.4888180370912403,6.64200023732461,1121.0,1.7775201348772374,2024,1,False
Chris Lynn,35.0,17.06065484626027,0.487447281321722,0.0,0.0,0.0,35.0,17.06065484626027,0.487447281321722,0.20679581631830632,35.0,1.7725355684426256,2024,1,False
Phil Salt,399.0,184.73730972084093,0.4630007762427091,0.0,0.0,0.0,399.0,184.73730972084093,0.4630007762427091,2.2392401178283747,399.0,1.6836391863371238,2024,1,False
Shahbaz Nadeem,1.0,-1.2731955179588983,-1.2731955179588983,24.0,12.646782133653536,0.5269492555688974,25.0,11.373586615694638,0.4549434646277855,0.1378616559478138,25.0,1.6543398713737654,2024,1,False
