player,bf,v_bat,rate_bat,bb,v_bowl,rate_bowl,balls,VORP,rate,WAR_cum,wballs,WAR,target,t_years,is_mega
Martin Guptill,53.0,35.223514358576956,0.6645946105391879,0.0,0.0,0.0,53.0,35.223514358576956,0.6645946105391879,0.4269516891948722,53.0,2.416707674687956,2022,3,True
Prithvi Shaw,1501.0,806.4734468395462,0.5372907707125558,0.0,0.0,0.0,1501.0,806.4734468395462,0.5372907707125558,9.775435719267227,1501.0,1.9537846207729304,2022,3,True
Anukul Roy,0.0,0.0,0.0,12.0,5.978571840574476,0.498214320047873,12.0,5.978571840574476,0.498214320047873,0.0724675374615088,12.0,1.8116884365377202,2022,3,True
Chris Woakes,33.0,8.405950214731988,0.2547257640827875,201.0,106.2405973432777,0.5285601857874512,234.0,114.64654755800969,0.48994251093166535,1.3896551219152689,234.0,1.7816091306606012,2022,3,True
Mayank Agarwal,1718.0,772.7851967617412,0.4498167617937958,0.0,0.0,0.0,1718.0,772.7851967617412,0.4498167617937958,9.36709329408171,1718.0,1.635697315613803,2022,3,True
Nicholas Pooran,751.0,332.47758818407686,0.44271316668984934,0.0,0.0,0.0,751.0,332.47758818407686,0.44271316668984934,4.030031371928205,751.0,1.6098660606903612,2022,3,True
Jofra Archer,166.0,67.0012005221948,0.4036216898927397,932.0,400.8690930560301,0.4301170526352254,1098.0,467.8702935782249,0.4261113784865436,5.671155073675453,1098.0,1.5494959217692494,2022,3,True
Evin Lewis,331.0,137.72154361321046,0.4160771710368896,0.0,0.0,0.0,331.0,137.72154361321046,0.4160771710368896,1.6693520437964904,331.0,1.5130078946795986,2022,3,True
Ishan Kishan,1348.0,556.6070155325656,0.41291321627044925,0.0,0.0,0.0,1348.0,556.6070155325656,0.41291321627044925,6.746751703425037,1348.0,1.5015026046198154,2022,3,True
Jos Buttler,1157.0,459.7185813310032,0.39733671679429833,0.0,0.0,0.0,1157.0,459.7185813310032,0.39733671679429833,5.572346440375796,1157.0,1.444860788342903,2022,3,True
Suryakumar Yadav,1649.0,647.2181528473183,0.3924912994829098,0.0,0.0,0.0,1649.0,647.2181528473183,0.3924912994829098,7.845068519361433,1649.0,1.427241089028763,2022,3,True
Stuart Binny,40.0,14.838022632594306,0.37095056581485764,42.0,17.155228512104827,0.4084578217167816,82.0,31.993251144699133,0.3901615993255992,0.38779698357211073,82.0,1.418769452093088,2022,3,True
Shimron Hetmyer,755.0,287.25810947841376,0.380474317189952,0.0,0.0,0.0,755.0,287.25810947841376,0.380474317189952,3.4819164785262275,755.0,1.3835429715998253,2022,3,True
Venkatesh Iyer,864.0,346.2322072348052,0.4007317213365801,156.0,39.73056988100683,0.2546831402628643,1020.0,385.962777115812,0.37839487952530587,4.678336692312873,1020.0,1.3759813800920213,2022,3,True
Shikhar Dhawan,2651.0,1001.3302797202314,0.37771794783863877,0.0,0.0,0.0,2651.0,1001.3302797202314,0.37771794783863877,12.137336723881592,2651.0,1.3735198103223227,2022,3,True
Rahul Tripathi,1329.0,489.2139616497527,0.36810681839710513,0.0,0.0,0.0,1329.0,489.2139616497527,0.36810681839710513,5.929866201815185,1329.0,1.338570248716746,2022,3,True
AB de Villiers,1492.0,540.86049807921,0.36250703624611924,0.0,0.0,0.0,1492.0,540.86049807921,0.36250703624611924,6.555884825202545,1492.0,1.3182074045313428,2022,3,True
